Blue	Green	Red
0.068617465	0.052495041	0.034168588
0.075120808	0.03163066	0.088302866
0.075120808	0.073359422	0.068002512
0.068617465	0.062927423	0.095069268
0.057779199	0.083791038	0.068002512
0.051275473	0.073359422	0.047701774
0.037185535	0.021198278	0.01386785
0.010088912	0	0.04093499
0.007921258	0	0.034168588
0.003585952	0.021198278	0.007101065
0.003585952	0	0
0.004669587	0.021198278	0
0	0.021198278	0
0.002501934	0.010766279	0
0.001418299	0.021198278	0
0.003585952	0	0
0.001418299	0	0
0.003585952	0.010766279	0
0.003585952	0	0
0	0	0
0.001549254	0	0
0.001418299	0	0
0	0	0
0.002501934	0	0
0.003585952	0	0.007101065
0	0	0
0.002501934	0	0
0.002501934	0	0
0.002501934	0	0
0.005753605	0	0
0.001418299	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.001418299	0	0
0	0	0
0.001418299	0	0
0.002501934	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.001418299	0	0
