"","X","EIRY_eq","clin_inc_0_5.final..1","pcr_pos_all.final..1","clin_inc_all.final..1","pcr_pos_0_5.final..1","slide_pos_2_10","mv"
"1",1,1,0.157699,0.151797,0.211456,0.0721774,0.077943403706597,0.928988601223184
"2",2,1.11419,0.174356,0.16362,0.226079,0.0784796,0.0845823101244921,0.988983106343785
"3",3,1.24142,0.192622,0.176074,0.241237,0.0852181,0.0916788939654525,1.05461918820676
"4",4,1.38318,0.212617,0.18915,0.256918,0.0924093,0.0992537216553073,1.12652600736042
"5",5,1.54113,0.23446,0.202837,0.273104,0.100069,0.107325910104724,1.20539324663651
"6",6,1.71711,0.25827,0.217122,0.28977,0.10821,0.115911508473186,1.29197077512813
"7",7,1.91319,0.284162,0.231992,0.306879,0.116846,0.125023604849417,1.38708824559863
"8",8,2.13166,0.312248,0.247434,0.324382,0.125987,0.134669479103219,1.4916457052798
"9",9,2.37508,0.342638,0.263434,0.34222,0.135642,0.144850983924547,1.60663477864471
"10",10,2.64629,0.375442,0.279981,0.360324,0.145815,0.155563622181107,1.73314178372083
"11",11,2.94848,0.410772,0.297058,0.378622,0.156509,0.166798709146736,1.87238042129373
"12",12,3.28517,0.448743,0.314644,0.397041,0.167722,0.178542535500618,2.02568368147741
"13",13,3.66031,0.489473,0.332714,0.415515,0.179449,0.190780387760755,2.19455205844786
"14",14,4.07828,0.533079,0.35123,0.433982,0.191684,0.203496814709229,2.38065589110306
"15",15,4.54399,0.579672,0.370149,0.45239,0.204417,0.216678883948698,2.5858826089222
"16",16,5.06287,0.629346,0.389414,0.470693,0.217637,0.230315450764988,2.81233422273664
"17",17,5.64101,0.682169,0.408966,0.488851,0.231332,0.244399954641692,3.06239017714634
"18",18,6.28516,0.738167,0.428736,0.506824,0.245488,0.258928399623857,3.33870761145802
"19",19,7.00287,0.797317,0.448657,0.524574,0.260092,0.273899917775734,3.64428141231924
"20",20,7.80254,0.859541,0.46866,0.542057,0.275128,0.289314033761762,3.98246400308488
"21",21,8.69353,0.924707,0.488683,0.559227,0.290579,0.305168355752574,4.35700980376182
"22",22,9.68625,0.992634,0.508671,0.576034,0.306423,0.321455055526219,4.77211008493065
"23",23,10.7923,1.06311,0.528574,0.592427,0.322634,0.338157831932475,5.23244797112732
"24",24,12.0247,1.13591,0.548348,0.608357,0.339182,0.355250139702396,5.7432900107283
"25",25,13.3979,1.21082,0.567957,0.623778,0.35603,0.372691036039069,6.31048639605328
"26",26,14.9278,1.28763,0.587363,0.63865,0.373137,0.390423665259438,6.94047736666512
"27",27,16.6324,1.36615,0.606532,0.652939,0.390458,0.408382718896076,7.64056022536084
"28",28,18.5317,1.44621,0.625425,0.66662,0.407949,0.426493801764235,8.41884842433677
"29",29,20.6478,1.52764,0.643999,0.679674,0.425564,0.444677294094151,9.28431649154075
"30",30,23.0056,1.61024,0.662211,0.692088,0.443262,0.462857369253551,10.2470923950566
"31",31,25.6327,1.69375,0.680012,0.703853,0.461006,0.480962898454641,11.3184243565735
"32",32,28.5597,1.77785,0.697357,0.714963,0.478762,0.498931340250244,12.5108136813336
"33",33,31.821,1.86215,0.714201,0.725414,0.4965,0.51671352304928,13.8383523681287
"34",34,35.4547,1.94617,0.730507,0.735203,0.514192,0.534270886643506,15.3166950608945
"35",35,39.5033,2.02939,0.746243,0.744329,0.531809,0.551576180733608,16.9633576250032
"36",36,44.0142,2.11128,0.761388,0.752795,0.54932,0.568611208562359,18.7979342109943
"37",37,49.0402,2.19133,0.775927,0.760605,0.566691,0.585363634608425,20.8423140341538
"38",38,54.6402,2.2691,0.789854,0.767773,0.583884,0.601823942879677,23.1209789500966
"39",39,60.8797,2.34422,0.803168,0.774315,0.600856,0.617981617527626,25.6612190998626
"40",40,67.8316,2.41644,0.815872,0.78026,0.617564,0.633822650976374,28.4934702532183
"41",41,75.5774,2.48563,0.827972,0.785643,0.633965,0.64932839259547,31.6518146424258
"42",42,84.2077,2.55171,0.839473,0.790509,0.650021,0.664473707552416,35.1741980453441
"43",43,93.8235,2.61471,0.850383,0.794915,0.665696,0.679228013590859,39.1029752701316
"44",44,104.537,2.67464,0.860708,0.798924,0.680961,0.693556281323877,43.4852552026078
"45",45,116.475,2.73157,0.870454,0.802605,0.695793,0.707423854801262,48.3743149612505
"46",46,129.775,2.78554,0.879628,0.806037,0.710175,0.720792712706249,53.8280311369374
"47",47,144.594,2.83659,0.888239,0.809303,0.724091,0.733632379703969,59.9125188117751
"48",48,161.106,2.88476,0.8963,0.812492,0.737531,0.745916672495772,66.7011525204514
"49",49,179.502,2.93012,0.903822,0.815702,0.750483,0.757624564109574,74.2746118044357
"50",50,200,2.97279,0.910822,0.819037,0.762935,0.76874605572406,82.7250543303086
