Mosi	Species	Strain
As	Pb	507cl1
As	Pb	507cl1
As	Pb	507cl1
As	Pf 	NF54
As	Pf 	NF54
As	Pf 	NF54
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	pvs25DR
As	Pb	pvs25DR
As	Pb	pvs25DR
As	Pb	pvs25DR
As	Pb	pvs25DR
As	Pb	pvs25DR
As	Pb	pvs25DR
As	Pb	pvs25DR
As	Pb	pvs25DR
As	Pb	anka
Ag	Pb	anka
Ag	Pb	anka
As	Pb	anka
As	Pb	anka
Ag	Pb	anka
Ag	Pb	anka
As	Pb	anka
Ag	Pb	anka
Ag	Pb	anka
As	Pb	anka
Ag	Pb	anka
Ag	Pb	anka
Ag	Pb	anka
As	Pb	anka
As	Pb	anka
As	Pf	anka
As	Pf	NF54
As	Pf	NF54
As	Pf	NF54
As	Pf	NF54
As	Pf	NF54
As	Pf	NF54
As	Pf	NF54
Ag	Pf	Field
Ag	Pf	Field
Ag	Pf	Field
Ag	Pf	Field
Ag	Pf	Field
Ag	Pf	Field
Ag	Pf	Field
Ag	Pf	Field
Ag	Pf	Field
Ag	Pf	Field
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
As	Pb	2.34
